iter	Passed	Remaining
0	0	373
1	1	312
2	1	288
3	2	272
4	2	263
5	3	258
6	3	253
7	3	235
8	4	233
9	4	232
10	5	231
11	5	230
12	6	232
13	6	231
14	7	230
15	7	230
16	8	228
17	8	228
18	8	226
19	9	226
20	9	225
21	10	225
22	10	224
23	11	224
24	11	224
25	12	223
26	12	223
27	13	222
28	13	222
29	14	221
30	14	221
31	15	221
32	15	220
33	16	220
34	16	219
35	17	219
36	17	220
37	18	219
38	18	219
39	18	218
40	19	217
41	19	217
42	20	216
43	20	216
44	21	215
45	21	215
46	22	214
47	22	214
48	23	213
49	23	213
50	24	212
51	24	212
52	25	211
53	25	210
54	26	210
55	26	209
56	26	209
57	27	209
58	27	208
59	28	208
60	28	207
61	29	207
62	29	207
63	30	206
64	30	206
65	31	206
66	31	205
67	32	205
68	32	204
69	33	204
70	33	203
71	34	203
72	34	202
73	35	202
74	35	202
75	36	201
76	36	201
77	37	200
78	37	200
79	38	199
80	38	197
81	38	197
82	39	196
83	39	196
84	40	196
85	40	195
86	41	195
87	41	194
88	42	194
89	42	193
90	43	193
91	43	193
92	44	192
93	44	192
94	44	191
95	45	191
96	45	190
97	46	190
98	46	189
99	47	189
100	47	188
101	48	188
102	48	187
103	49	187
104	49	186
105	50	186
106	50	185
107	51	185
108	51	185
109	52	184
110	52	184
111	53	183
112	53	183
113	54	183
114	54	182
115	55	182
116	55	181
117	56	181
118	56	180
119	56	180
120	57	180
121	57	179
122	58	179
123	58	178
124	59	178
125	59	177
126	60	177
127	60	176
128	61	176
129	61	175
130	62	175
131	62	174
132	63	174
133	63	173
134	64	173
135	64	172
136	65	172
137	65	171
138	65	171
139	66	170
140	66	170
141	67	169
142	67	169
143	68	169
144	68	168
145	69	168
146	69	167
147	70	167
148	70	166
149	71	166
150	71	165
151	72	165
152	72	164
153	73	164
154	73	163
155	74	163
156	74	162
157	75	162
158	75	161
159	75	161
160	76	160
161	76	160
162	77	160
163	77	159
164	78	159
165	78	158
166	79	158
167	79	157
168	80	157
169	80	156
170	81	156
171	81	155
172	82	155
173	82	154
174	83	154
175	83	153
176	84	153
177	84	153
178	85	152
179	85	151
180	85	151
181	86	150
182	86	150
183	87	149
184	87	149
185	88	148
186	88	148
187	89	147
188	89	147
189	90	146
190	90	146
191	91	146
192	91	145
193	91	145
194	92	144
195	92	143
196	93	143
197	93	142
198	94	142
199	94	141
200	95	141
201	95	140
202	96	140
203	96	140
204	97	139
205	97	139
206	98	138
207	98	138
208	98	137
209	99	137
210	99	136
211	100	136
212	100	135
213	101	135
214	101	134
215	102	134
216	102	134
217	103	133
218	103	133
219	104	132
220	104	132
221	105	131
222	105	131
223	106	130
224	106	130
225	107	129
226	107	129
227	108	128
228	108	128
229	108	127
230	109	127
231	109	126
232	110	126
233	110	125
234	111	125
235	111	125
236	112	124
237	112	124
238	113	123
239	113	123
240	114	122
241	114	122
242	115	121
243	115	121
244	116	120
245	116	120
246	117	120
247	117	119
248	118	119
249	118	118
250	119	118
251	119	117
252	120	117
253	120	116
254	120	116
255	121	115
256	121	115
257	122	114
258	122	114
259	123	113
260	123	113
261	124	112
262	124	112
263	125	112
264	125	111
265	125	110
266	126	110
267	126	109
268	127	109
269	127	108
270	128	108
271	128	108
272	129	107
273	129	107
274	130	106
275	130	106
276	131	105
277	131	105
278	132	104
279	132	104
280	133	103
281	133	103
282	134	102
283	134	102
284	135	101
285	135	101
286	136	100
287	136	100
288	136	99
289	137	99
290	137	99
291	138	98
292	138	98
293	139	97
294	139	97
295	140	96
296	140	96
297	141	95
298	141	95
299	142	94
300	142	94
301	143	93
302	143	93
303	144	92
304	144	92
305	145	91
306	145	91
307	146	91
308	146	90
309	147	90
310	147	89
311	147	89
312	148	88
313	148	88
314	149	87
315	149	87
316	150	86
317	150	86
318	151	85
319	151	85
320	152	84
321	152	84
322	153	83
323	153	83
324	154	82
325	154	82
326	155	82
327	155	81
328	156	81
329	156	80
330	156	80
331	157	79
332	157	79
333	158	78
334	158	78
335	159	77
336	159	77
337	160	76
338	160	76
339	161	75
340	161	75
341	162	74
342	162	74
343	163	73
344	163	73
345	164	73
346	164	72
347	165	72
348	165	71
349	166	71
350	166	70
351	166	70
352	167	69
353	167	69
354	168	68
355	168	68
356	169	67
357	169	67
358	170	66
359	170	66
360	171	65
361	171	65
362	172	65
363	172	64
364	173	64
365	173	63
366	174	63
367	174	62
368	175	62
369	175	61
370	176	61
371	176	60
372	177	60
373	177	59
374	177	59
375	178	58
376	178	58
377	179	57
378	179	57
379	180	56
380	180	56
381	181	56
382	181	55
383	182	55
384	182	54
385	183	54
386	183	53
387	184	53
388	184	52
389	185	52
390	185	51
391	186	51
392	186	50
393	187	50
394	187	49
395	188	49
396	188	48
397	189	48
398	189	47
399	190	47
400	190	47
401	190	46
402	191	46
403	191	45
404	192	45
405	192	44
406	193	44
407	193	43
408	194	43
409	194	42
410	195	42
411	195	41
412	196	41
413	196	40
414	197	40
415	197	39
416	198	39
417	198	38
418	199	38
419	199	38
420	200	37
421	200	37
422	201	36
423	201	36
424	201	35
425	202	35
426	202	34
427	203	34
428	203	33
429	204	33
430	204	32
431	205	32
432	205	31
433	206	31
434	206	30
435	207	30
436	207	29
437	208	29
438	208	28
439	209	28
440	209	28
441	210	27
442	210	27
443	211	26
444	211	26
445	211	25
446	212	25
447	212	24
448	213	24
449	213	23
450	214	23
451	214	22
452	215	22
453	215	21
454	216	21
455	216	20
456	217	20
457	217	19
458	218	19
459	218	19
460	219	18
461	219	18
462	220	17
463	220	17
464	221	16
465	221	16
466	222	15
467	222	15
468	222	14
469	223	14
470	223	13
471	224	13
472	224	12
473	225	12
474	225	11
475	226	11
476	226	10
477	227	10
478	227	9
479	228	9
480	228	9
481	229	8
482	229	8
483	230	7
484	230	7
485	231	6
486	231	6
487	232	5
488	232	5
489	233	4
490	233	4
491	233	3
492	234	3
493	234	2
494	235	2
495	235	1
496	236	1
497	236	0
498	237	0
499	237	0
